institution_id,name
10220,Max-Planck-Institut für europäische Rechtsgeschichte
10221,Max-Planck-Institut für Hirnforschung
10222,Max-Planck-Institut für Herz- und Lungenforschung
10224,GSI Helmholtzzentrum für Schwerionenforschung GmbH
10650,Fraunhofer-Institut für Betriebsfestigkeit und Systemzuverlässigkeit (LBF)
10444,Julius Kühn-Institut (JKI) - Bundesforschungsinstitut für Kulturpflanzen
10229,Leibniz-Institut Hessische Stiftung Friedens- und Konfliktforschung (HSFK)
10206,Goethe-Universität Frankfurt am Main
10231,Institut für Sozialforschung (IfS) an der Johann Wolfgang Goethe-Universität Frankfurt
10232,Leuphana Universität Lüneburg
10233,Carl von Ossietzky Universität Oldenburg
10235,Stiftung Universität Hildesheim
10236,Georg-August-Universität Göttingen
10238,Gottfried Wilhelm Leibniz Universität Hannover
10240,Technische Universität Braunschweig
10242,Technische Universität Clausthal
10244,Universität Osnabrück
10246,"Hochschule für Musik, Theater und Medien Hannover"
10247,Medizinische Hochschule Hannover (MHH)
10249,Stiftung Tierärztliche Hochschule Hannover
10251,Hochschule für Bildende Künste Braunschweig
10252,Hochschule Hannover
10253,Hochschule für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen
10254,Ostfalia Hochschule für angewandte Wissenschaften
10255,Hochschule Osnabrück
10256,Max-Planck-Institut für biophysikalische Chemie (Karl-Friedrich-Bonhoeffer-Institut)
10257,Max-Planck-Institut für experimentelle Medizin
10258,Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften (MPI-MMG)
10259,Max-Planck-Institut für Dynamik und Selbstorganisation (MPIDS)
10260,Max-Planck-Institut für Sonnensystemforschung (MPS)
10261,Fraunhofer-Institut für Toxikologie und Experimentelle Medizin (ITEM)
10262,Helmholtz-Zentrum für Infektionsforschung (HZI)
10317,Deutsches Zentrum für Luft- und Raumfahrt (DLR)
10266,Heinrich-Heine-Universität Düsseldorf
972220,Universität Duisburg-Essen
10272,Westfälische Wilhelms-Universität Münster
10274,Technische Universität Dortmund
10276,Ruhr-Universität Bochum
10278,Universität Paderborn
10280,Universität Bielefeld
10282,Universität zu Köln
10284,Rheinische Friedrich-Wilhelms-Universität Bonn
10286,Bergische Universität Wuppertal
10288,FernUniversität in Hagen
10290,Universität Witten/Herdecke
10291,Universität Siegen
10293,Rheinisch-Westfälische Technische Hochschule Aachen
28709490,Leibniz-Institut für Arterioskleroseforschung
10298,Institut für Kunststoffverarbeitung (IKV) in Industrie und Handwerk an der RWTH Aachen
10299,Folkwang Universität der Künste
10300,Kunsthochschule für Medien Köln
10301,Deutsche Sporthochschule Köln
10302,Hochschule Düsseldorf
10303,Hochschule Niederrhein
10304,Fachhochschule Münster
10305,Fachhochschule Dortmund
10306,Hochschule Bochum
10308,Fachhochschule Bielefeld
10309,Technische Hochschule Köln
10310,Fachhochschule Aachen
10311,Max-Planck-Institut für Eisenforschung GmbH (MPIE)
10312,Max-Planck-Institut für Stoffwechselforschung
10313,Max-Planck-Institut für Pflanzenzüchtungsforschung
10314,Max-Planck-Institut für Kohlenforschung
10315,Max-Planck-Institut für Chemische Energiekonversion (CEC)
10316,Max-Planck-Institut für Radioastronomie
10317,Deutsches Zentrum für Luft- und Raumfahrt (DLR)
10319,Forschungszentrum Jülich
10321,Universität Trier
10323,Johannes Gutenberg-Universität Mainz
10325,Technische Universität Kaiserslautern
10327,Theologische Fakultät Trier
10328,Deutsche Universität für Verwaltungswissenschaften Speyer
10329,Hochschule Worms
10330,Hochschule Kaiserslautern
10331,Akademie der Wissenschaften und der Literatur Mainz
10333,Max-Planck-Institut für Chemie (Otto-Hahn-Institut)
10334,Max-Planck-Institut für Polymerforschung
10335,Universität des Saarlandes
10337,Christian-Albrechts-Universität zu Kiel
10339,GEOMAR Helmholtz-Zentrum für Ozeanforschung Kiel
10340,Fachhochschule Kiel
10341,Max-Planck-Institut für Evolutionsbiologie
10342,Helmholtz-Zentrum Geesthacht (HZG) - Zentrum für Material- und Küstenforschung GmbH
10344,Brandenburgische Technische Universität Cottbus-Senftenberg (BTU)
10345,Universität Rostock
10347,"Hochschule Wismar University of Technology, Business and Design"
10348,HHL Leipzig Graduate School of Management
10349,Technische Universität Bergakademie Freiberg
10351,Universität Leipzig
10353,Technische Universität Dresden
10355,Technische Universität Chemnitz
10357,Martin-Luther-Universität Halle-Wittenberg
10359,Otto-von-Guericke-Universität Magdeburg
10361,Technische Universität Ilmenau
10362,Bauhaus-Universität Weimar
10363,Friedrich-Schiller-Universität Jena
10365,Humboldt-Universität zu Berlin
10047,Ruprecht-Karls-Universität Heidelberg
10368,Forschungsinstitut Edelmetalle und Metallchemie (fem)
10370,Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e.V.
10371,Hochschule für nachhaltige Entwicklung Eberswalde
10372,Fachhochschule Potsdam
10373,Filmuniversität Babelsberg Konrad Wolf
10374,Deutsches Institut für Ernährungsforschung Potsdam-Rehbrücke (DIFE)
10189,Alfred-Wegener-Institut (AWI) Helmholtz-Zentrum für Polar- und Meeresforschung (AWI)
10376,Helmholtz-Zentrum Potsdam - Deutsches GeoForschungsZentrum (GFZ)
10377,Leibniz-Institut für Agrartechnik und Bioökonomie e.V. (ATB)
