project_id,country
5173038,Jordanien
5173106,Japan
5173340,China
5173346,USA
5173552,Dänemark
5173564,USA
5173614,Chile
5173662,Großbritannien
5173760,USA
5173888,Israel
5173936,USA
5174074,Israel
5174181,Israel
5174181,Palästina
5174196,USA
5174222,USA
5174332,USA
5174338,USA
5174488,USA
5174870,Israel
5175040,USA
5175094,USA
5175418,USA
5175846,Japan
5175882,Großbritannien
5175976,Israel
5175976,Jordanien
5176102,USA
5176228,Jamaika
5176358,Schweiz
5176370,Österreich
5176390,Großbritannien
5176552,USA
5176718,USA
5176748,Brasilien
5176812,China
5176812,USA
5176852,Frankreich
5176932,Russische Föderation
5177220,Großbritannien
5177330,USA
5177340,Bulgarien
5177500,Südafrika
5177854,Niederlande
5178050,USA
5178386,USA
5178424,Spanien
5178438,Kanada
5178530,USA
5178616,USA
5178754,USA
5178812,USA
5178926,USA
5178934,Marokko
5178946,USA
5178986,China
5178998,USA
5179110,Großbritannien
5179260,USA
5179284,Österreich
5179346,USA
5179590,USA
5179696,China
5179758,USA
5179828,USA
5179888,USA
5180014,Großbritannien
5180028,USA
5180062,Japan
5180314,Irland
5180528,USA
5180624,USA
5180644,Großbritannien
5180644,USA
5180684,USA
5180856,USA
5180862,Israel
5181160,USA
5181178,USA
5181352,Schweden
5181424,USA
5181500,USA
5181604,Frankreich
5181604,USA
5181762,USA
5181814,Niederlande
5181910,Brasilien
5181910,Ukraine
5181960,USA
5181968,Schweiz
5182036,Thailand
5182442,USA
5182494,USA
5182616,Frankreich
5182694,Österreich
5182734,Frankreich
5182734,Spanien
5182752,USA
5182812,Österreich
5183016,Japan
5183500,Marokko
5183542,Dänemark
5183542,Italien
5183542,USA
5183648,USA
5183704,USA
5183710,USA
5183746,Spanien
5183746,USA
5183872,USA
5183938,Portugal
5183938,USA
5184128,USA
5184146,Gambia
5184286,USA
5184292,Dänemark
5184292,Frankreich
5184292,Großbritannien
5184292,Mexiko
5184292,Niederlande
5184292,Österreich
5184292,Russische Föderation
5184292,Spanien
5184292,Tschechische Republik
5184292,USA
5184398,Belgien
5184592,Frankreich
5184639,Russische Föderation
5184664,Frankreich
5184840,Japan
5184840,Russische Föderation
5184840,Schweiz
5184840,Ukraine
5184864,Süd-Korea
5185056,USA
5185192,USA
5185204,Schweiz
5185204,USA
5185278,USA
5185296,Bulgarien
5185800,Großbritannien
5185826,Indonesien
5185826,Papua-Neuguinea
5185866,USA
5186048,Spanien
5186324,Neuseeland
5186510,Ägypten
5186516,Ägypten
5186534,USA
5186546,Oman
5186916,Schweiz
5186944,Polen
5186986,USA
5187036,USA
5187076,Georgien
5187148,Großbritannien
5187282,Vereinigte Arabische Emirate
5187350,Österreich
5187350,Schweiz
5187514,USA
5187588,Ghana
5187840,Italien
5187872,USA
5188134,USA
5188208,Belgien
5188282,China
5188292,Großbritannien
5188320,USA
5188452,Frankreich
5188524,USA
5188664,USA
5188942,Österreich
5189128,USA
5189170,USA
5189234,Großbritannien
5189276,USA
5189398,Mauritius
5189480,Argentinien
5189504,Finnland
5189558,Japan
5189632,Großbritannien
5189646,USA
5189683,Großbritannien
5189754,USA
5189876,USA
5189918,Dänemark
5189932,USA
5189950,Kanada
5190072,USA
5190108,Großbritannien
5190156,USA
5190170,Tansania
5190232,Frankreich
5190232,Polen
5190244,Indien
5190244,USA
5190262,Frankreich
5190310,USA
5190413,Italien
5190413,Schweden
5190454,USA
5190496,Frankreich
5190546,Thailand
5190608,USA
5190614,Dänemark
5190632,Russische Föderation
5190658,Österreich
5190658,Tschechische Republik
5190722,Großbritannien
5190740,Ukraine
5190758,USA
5190932,Österreich
5190956,Schweiz
5190968,USA
5191026,USA
5191082,Großbritannien
5191228,Russische Föderation
5191266,USA
5191402,Großbritannien
5191448,USA
5191518,USA
5191534,USA
5191736,Schweiz
5191852,Polen
5191858,Niederlande
5191966,USA
5192044,Russische Föderation
5192164,USA
5192214,USA
5192290,Nigeria
5192290,Panama
5192290,USA
5192476,Großbritannien
5192540,USA
5192698,USA
5192798,USA
5192986,USA
5193160,USA
5193172,China
5193186,USA
5193400,USA
5193482,USA
5193638,Marokko
5193692,Süd-Korea
5193788,USA
5193886,Finnland
5193886,Österreich
5193886,USA
5194086,USA
5194106,USA
5194168,Italien
5194168,USA
5194168,Weißrussland
5194180,USA
5194186,USA
5194326,USA
5194364,USA
5194376,USA
5194400,USA
5194462,China
5194616,USA
5194666,USA
5194672,USA
5194820,USA
5194833,USA
5194864,USA
5194870,USA
5194992,Rumänien
5194997,USA
5195052,Großbritannien
5195068,USA
5195080,Australien
5195080,USA
5195092,Schweden
5195092,Vereinigte Arabische Emirate
5195128,USA
5195176,USA
5195200,USA
5195224,Dänemark
5195402,USA
5195432,China
5195456,USA
5195524,USA
5195560,Syrien
5195572,USA
5195620,USA
5195626,USA
5195716,Frankreich
5195800,Israel
5195842,Niederlande
5195902,USA
5195926,USA
5195941,China
5195959,USA
5196004,Russische Föderation
5196060,Russische Föderation
5196072,USA
5196114,USA
5196120,Griechenland
5196182,Schweiz
5196280,Indien
5196403,USA
5196448,USA
5196484,Großbritannien
5196520,USA
5196620,USA
5196684,Italien
5196684,Tschechische Republik
5196684,USA
5196768,Spanien
5196850,USA
5196856,USA
5196868,Tschechische Republik
5196888,Tschechische Republik
5197034,Marokko
5197132,USA
5197136,China
5197232,Russische Föderation
5197238,USA
5197264,Russische Föderation
5197284,USA
5197308,Schweiz
5197316,USA
5197380,USA
5197402,USA
5197474,USA
5197649,USA
5197748,Jordanien
5197784,Türkei
5197828,USA
5197860,Russische Föderation
5197872,USA
5197902,Schweden
5198020,Spanien
5198026,Italien
5198046,Türkei
5198064,Niederlande
5198076,Belgien
5198148,USA
5198306,China
5198352,Polen
5198376,USA
5198394,Finnland
5198394,Russische Föderation
5198394,USA
5198400,China
5198405,Australien
5198411,Nepal
5198452,Polen
5198452,Tschechische Republik
5198452,Ungarn
5198464,USA
5198476,USA
5198498,Frankreich
5198498,Lettland
5198520,USA
5198574,USA
5198590,Großbritannien
5198608,Japan
5198694,Australien
5198694,USA
5198700,USA
5199866,USA
5199954,USA
5200008,USA
5200030,Ägypten
5200134,USA
5200313,USA
5200432,USA
5200522,Österreich
5200638,USA
5200748,USA
5200776,USA
5200832,USA
5200890,Indien
5200946,Indien
5200958,USA
5200994,Italien
5200994,Polen
5201098,USA
5201110,Griechenland
5201110,Russische Föderation
5201242,USA
5201358,USA
5201434,Polen
5201484,Frankreich
5201484,Pakistan
5201496,USA
5201634,Ukraine
5201744,Neuseeland
5201772,Neuseeland
5201878,USA
5202214,Niederlande
5202270,Kenia
5202282,Großbritannien
5202316,USA
5202320,Ägypten
5202322,USA
5202446,USA
5202466,Dänemark
5202480,Schweiz
5202492,USA
5202504,USA
5202532,Norwegen
5202574,USA
5202588,Niederlande
5202588,Slowenien
5202588,USA
5202702,USA
5202714,Kroatien
5202888,USA
5203050,Russische Föderation
5203194,Venezuela
5203386,USA
5203404,Schweden
5203480,Madagaskar
5203528,Israel
5203528,Jordanien
5203528,Palästina
5203552,Großbritannien
5203552,USA
5203572,USA
5203672,USA
5203696,USA
5203702,Madagaskar
5203754,USA
5204048,USA
5204088,Schweden
5204142,USA
5204182,Uganda
5204218,Türkei
5204256,Bolivien
5204446,USA
5204584,Russische Föderation
5204596,USA
5204678,Schweiz
5204738,Frankreich
5204738,USA
5204816,Frankreich
5204849,Japan
5204849,Ungarn
5204868,USA
5204960,Israel
5205034,Frankreich
5205060,Polen
5205114,USA
5205162,Australien
5205174,Kanada
5205186,USA
5205386,Großbritannien
5205440,USA
5205446,Großbritannien
5205580,USA
5205598,Neuseeland
5205670,USA
5205688,Australien
5205694,Italien
5205694,Spanien
5205744,Indien
5205830,Großbritannien
5206002,USA
5206098,USA
5206124,Niederlande
5206126,Ungarn
5206136,USA
5206196,USA
5206242,Kanada
