project_id,subject_area
273527,Umweltgeochemie
273527,Struktur- und Mikroanalytik
273527,Mineralogie
273527,Meteorologie
273527,Hydrochemie
273527,Angewandte Physik
273527,Biogeochemie
273551,Anästhesiologie
273551,Funktionelle Genomforschung
273551,Biomathematik
273551,Dermatologie
273551,Immunologie
273551,Mikrobiologie
273551,Medizinische Biochemie
273551,Transfusionsmedizin
273551,Chirurgie
273563,Sozialanthropologie
273563,Sozialpolitik
273563,Allgemeine Soziologie
273563,Medizinsoziologie
273563,Sportwissenschaften
273563,Qualitative Methoden
273563,Induktionsschweißen
273563,Wärmeimpulsschweißen
273563,Computational Material Science
273563,Religionssoziologie
273563,Geschichtswissenschaften
273563,Politikwissenschaften
273567,Biochemie
273567,Tierphysiologie
273567,Zoologie
273567,Angewandte Molekularbiologie
273567,Medizinische Biochemie
273567,Toxikologie
273567,Phytopathologie
273567,Pflanzenphysiologie
273567,Pharmakologie
273567,Physiologie
273575,Anorganische Chemie
273575,Theoretische Chemie
273575,Organische Chemie
273595,Chirurgie
273595,Innere Medizin
273595,Nephrologie
273595,Onkologie
273595,Klinische Immunologie
273595,Klinische Pharmakologie
273595,Psychiatrie
273595,Neurochirurgie
273595,Kardiologie
273595,Gastroenterologie
273595,Dermatologie
273595,Endokrinologie
273599,Kernphysik
273599,Theoretische Physik
273599,Teilchen-Astrophysik
273599,Hochenergiephysik
273599,Statische Physik
273599,Quantenfeldtheorie
273599,Schwerionenphysik
273599,Kosmologie
273603,Kriminologie
273603,Soziologie
273603,Erziehungswissenschaften
273603,Politologie
273603,Psychologie
273615,Bioinformatik
273615,Bioethik
273615,Medizinische Psychologie
273615,Kognitive Neurowissenschaften
273615,Rechtswissenschaften
273615,Theologie
273615,Entwicklungsbiologie
273615,Genetik
273615,Medizin
273615,Philosophie
273615,Neuropharmakologie
273615,Biologie
273619,Anglistik
273619,Geschichtswissenschaft
273619,Politikwissenschaften
273619,Neulatein
273619,Orientalistik
273619,Soziologie
273619,Germanistik
273619,Kunstgeschichte
273619,Romanistik
273627,Informatik
273627,Wirtschaftswissenschaften
273627,Rechtswissenschaften
273631,Ägyptologie
273631,Iranistik
273631,Altorientalistik
273631,Orientalische Kirchengeschichte
273631,Ökumenische Theologie
273631,Klassische Philologie (Gräzistik und Latinistik)
273631,Islamwissenschaften
273631,Evangelische Theologie
273631,Arabistik
273635,Didaktik der Biologie
273635,Lehr-Lern-Psychologie
273635,Didaktik der Chemie
273635,Didaktik der Physik
273635,Empirische Bildungsforschung
370878,Stadtplanung
370878,Ingenieurwissenschaften
370878,Medienwissenschaften
370878,Kunst- und Kulturgeschichte
370878,Literaturwissenschaften
372679,Ingenieurwesen
372679,Jura
372679,Soziologie
372679,Politikwissenschaft
372679,Betriebswirtschaftslehre
372679,Volkswirtschaftslehre
372729,Konstruktionstechnik
372729,Ingenieurpsychologie
372729,Prozess- und Anlagentechnik
372729,Kognitionspsychologie
372729,Produktentwicklung
372729,Mensch-Maschine-Systeme
372766,Theologie
